repository,file_path,change_count
requests,requests/exceptions.py,2
requests,requests/help.py,2
requests,tests/compat.py,2
requests,.github/AI_POLICY.md,1
requests,docs/Makefile,1
requests,docs/make.bat,1
requests,src/requests/api.py,1
requests,src/requests/py.typed,1
requests,src/requests/structures.py,1
requests,ext/flower-of-life.jpg,1
requests,ext/kr-compressed.png,1
requests,ext/psf-compressed.png,1
requests,ext/ss-compressed.png,1
requests,ext/ss.png,1
requests,docs/_templates/hacks.html,1
requests,docs/_templates/sidebar.html,1
requests,.github/CODEOWNERS,1
requests,src/requests/certs.py,1
requests,docs/user/authentication.rst,1
requests,.github/SECURITY.md,1
requests,docs/community/vulnerabilities.rst,1
requests,tests/certs/README.md,1
requests,tests/certs/expired/Makefile,1
requests,tests/certs/expired/README.md,1
requests,tests/certs/expired/ca/Makefile,1
requests,tests/certs/expired/server/Makefile,1
requests,tests/certs/expired/server/cert.cnf,1
requests,tests/certs/mtls/Makefile,1
requests,tests/certs/mtls/README.md,1
requests,tests/certs/mtls/client/Makefile,1
requests,tests/certs/mtls/client/ca,1
requests,tests/certs/mtls/client/cert.cnf,1
requests,tests/certs/valid/ca,1
requests,tests/certs/valid/server/Makefile,1
requests,tests/certs/valid/server/cert.cnf,1
requests,docs/requirements.txt,1
requests,.github/ISSUE_TEMPLATE/Custom.md,1
requests,.github/ISSUE_TEMPLATE/Feature_request.md,1
requests,{requests => src/requests}/__init__.py,1
requests,{requests => src/requests}/__version__.py,1
requests,{requests => src/requests}/_internal_utils.py,1
requests,{requests => src/requests}/adapters.py,1
requests,{requests => src/requests}/api.py,1
requests,{requests => src/requests}/auth.py,1
requests,{requests => src/requests}/certs.py,1
requests,{requests => src/requests}/compat.py,1
requests,{requests => src/requests}/cookies.py,1
requests,{requests => src/requests}/exceptions.py,1
requests,{requests => src/requests}/help.py,1
requests,{requests => src/requests}/hooks.py,1
requests,{requests => src/requests}/models.py,1
requests,{requests => src/requests}/packages.py,1
requests,{requests => src/requests}/sessions.py,1
requests,{requests => src/requests}/status_codes.py,1
requests,{requests => src/requests}/structures.py,1
requests,{requests => src/requests}/utils.py,1
requests,docs/user/install.rst,1
requests,.git-blame-ignore-revs,1
requests,.coveragerc,1
requests,.github/ISSUE_TEMPLATE.md,1
requests,pytest.ini,1
requests,requests/certs.py,1
requests,requests/hooks.py,1
requests,requests/packages.py,1
requests,requests/status_codes.py,1
requests,requests/structures.py,1
requests,tests/test_hooks.py,1
requests,tests/utils.py,1
pytest,pyproject.toml,27
pytest,AUTHORS,21
pytest,src/_pytest/fixtures.py,20
pytest,testing/test_assertion.py,18
pytest,doc/en/reference/plugin_list.rst,17
pytest,src/_pytest/config/__init__.py,17
pytest,doc/en/reference/reference.rst,17
pytest,.pre-commit-config.yaml,16
pytest,testing/plugins_integration/requirements.txt,16
pytest,src/_pytest/_code/code.py,14
pytest,testing/test_assertrewrite.py,13
pytest,src/_pytest/assertion/rewrite.py,13
pytest,.github/workflows/test.yml,13
pytest,testing/test_config.py,12
pytest,src/_pytest/assertion/__init__.py,12
pytest,src/_pytest/assertion/util.py,11
pytest,src/_pytest/deprecated.py,11
pytest,doc/en/deprecations.rst,11
pytest,.github/workflows/deploy.yml,10
pytest,testing/python/fixtures.py,10
pytest,src/_pytest/python.py,10
pytest,src/_pytest/assertion/_compare_any.py,10
pytest,src/_pytest/python_api.py,10
pytest,.github/workflows/update-plugin-list.yml,9
pytest,testing/python/approx.py,9
pytest,src/_pytest/pathlib.py,9
pytest,testing/test_tmpdir.py,9
pytest,testing/deprecated_test.py,9
pytest,src/_pytest/junitxml.py,8
pytest,testing/python/metafunc.py,8
pytest,.github/workflows/doc-check-links.yml,6
pytest,.github/workflows/prepare-release-pr.yml,6
pytest,testing/test_conftest.py,6
pytest,src/_pytest/terminal.py,6
pytest,src/_pytest/unittest.py,6
pytest,testing/code/test_excinfo.py,6
pytest,CONTRIBUTING.rst,6
pytest,src/_pytest/raises.py,6
pytest,src/_pytest/logging.py,5
pytest,src/_pytest/mark/__init__.py,5
pytest,testing/test_mark.py,5
pytest,src/_pytest/mark/structures.py,5
pytest,testing/test_doctest.py,5
pytest,testing/test_junitxml.py,5
pytest,src/_pytest/approx.py,4
pytest,src/_pytest/_code/source.py,4
pytest,src/_pytest/main.py,4
pytest,doc/en/how-to/writing_plugins.rst,4
pytest,src/_pytest/assertion/_typing.py,4
pytest,src/_pytest/assertion/truncate.py,4
pytest,src/_pytest/assertion/_compare_mapping.py,4
pytest,src/_pytest/assertion/_compare_sequence.py,4
pytest,src/_pytest/assertion/compare_text.py,4
pytest,src/_pytest/config/argparsing.py,4
pytest,tox.ini,4
pytest,testing/test_assertrewrite_coverage.py,3
pytest,testing/logging/test_fixture.py,3
pytest,testing/conftest.py,3
pytest,src/_pytest/unraisableexception.py,3
pytest,testing/test_unittest.py,3
pytest,doc/en/how-to/plugins.rst,3
pytest,src/_pytest/pytester.py,3
pytest,src/_pytest/config/findpaths.py,3
pytest,doc/en/changelog.rst,3
pytest,.github/workflows/stale.yml,3
pytest,src/_pytest/hookspec.py,3
pytest,src/_pytest/tmpdir.py,3
pytest,testing/test_warnings.py,3
pytest,src/_pytest/doctest.py,3
pytest,src/pytest/__init__.py,3
pytest,doc/en/example/parametrize.rst,3
pytest,doc/en/how-to/fixtures.rst,3
pytest,changelog/14004.deprecation.rst,3
pytest,src/_pytest/assertion/_compare_set.py,3
pytest,doc/en/how-to/writing_hook_functions.rst,3
pytest,changelog/14445.bugfix.rst,2
pytest,testing/python/collect.py,2
pytest,testing/test_pluginmanager.py,2
pytest,scripts/diff-assert-rewrite.py,2
pytest,testing/test_reports.py,2
pytest,testing/test_cacheprovider.py,2
pytest,changelog/11418.improvement.rst,2
pytest,testing/code/test_source.py,2
pytest,testing/test_pathlib.py,2
pytest,testing/test_skipping.py,2
