token_1,token_2,original_similarity,improved_similarity,change
test,model,-0.03755625118203228,0.03211385067345292,0.0696701018554852
test,utils,-0.11314996556548337,0.224823884671338,0.33797385023682136
test,scripts,0.07700844792907818,0.3441439415077403,0.2671354935786621
test,response,0.10250867979860315,0.3690122243367378,0.26650354453813463
test,an,-0.09593311777871616,-0.0037165620317733436,0.09221655574694282
test,002,-0.11892036319111472,-0.10658809566959998,0.012332267521514742
test,example,-0.011351072490052912,0.01872374061272642,0.030074813102779333
test,request,0.18620891642863227,0.3966234303875564,0.2104145139589241
test,003,0.1459783824223519,0.13091501794225258,-0.015063364480099317
test,pytest,0.014992302544445103,0.3185077950873059,0.3035154925428608
test,linear,0.0029669403619676203,0.1548014702796626,0.15183452991769497
test,query,0.01796994428045001,0.08572507922588318,0.06775513494543317
test,path,-0.1268715622348266,-0.037236943108656384,0.08963461912617021
test,cluster,-0.04004849635269987,0.2824148036771304,0.32246330002983026
test,api,0.0568639681569486,0.08968561034053134,0.03282164218358274
test,body,0.07637676671440548,0.07798146842097965,0.0016047017065741742
test,benchmarks,-0.18200959245245552,0.13829302056933232,0.32030261302178786
test,externals,-0.028436139386690748,0.2430786092152756,0.27151474860196634
test,models,0.019255396279013463,0.20819128895952627,0.1889358926805128
test,app,-0.05973767605497042,-0.018246402653356718,0.0414912734016137
test,array,-0.05551235915131252,-0.0335586284453833,0.021953730705929222
test,ensemble,0.011405205177796602,0.2201724653512493,0.20876726017345268
test,security,0.0788491602467819,0.3279456008135749,0.24909644056679298
test,selection,-0.09245866151235213,0.258383272195746,0.35084193370809813
test,extra,-0.0929780541147048,0.18232991205611968,0.2753079661708245
test,validations,-0.07085032846425708,0.1907236385617472,0.2615739670260043
test,str,0.1638322100325246,0.3681234628097918,0.2042912527772672
test,custom,0.0011306241353466952,0.29033364210213575,0.28920301796678904
test,dependencies,-0.003455471127907175,0.3175507248152561,0.32100619594316326
test,fixtures,0.08001247840398198,0.4133375526125871,0.33332507420860513
tests,tutorial,0.11469560880744036,0.16232540335145906,0.04762979454401871
tests,sklearn,-0.14133768051392837,0.24409972012755923,0.38543740064148757
tests,src,-0.08089751264293255,0.0047662187104475446,0.0856637313533801
tests,/_,0.045396795258295354,-0.04751638674853789,-0.09291318200683324
tests,docs,0.05705583629607557,0.07572639856199637,0.018670562265920794
tests,310,0.010897245213467504,-0.059878120224913824,-0.07077536543838132
tests,init,-0.10947920363463012,-0.0239509281016779,0.08552827553295222
tests,__.,-0.004329180967179233,-0.008532219000527124,-0.004203038033347891
tests,/__,-0.08229031014543427,-0.0828443779414137,-0.0005540677959794266
tests,plot,0.06695495954235613,0.10420087725480805,0.03724591771245192
tests,examples,0.02806608836152273,0.26196888774763777,0.23390279938611502
tests,testing,-0.07116039072252041,0.18094719974688533,0.25210759046940573
tests,001,0.0743591431306551,0.07339938707566192,-0.0009597560549931827
tests,params,0.08420581934849271,0.24326639369744638,0.15906057434895365
tests,model,0.025977989569288384,0.09425453913279973,0.06827654956351134
tests,utils,-0.061210716500189236,0.20481758719378093,0.2660283036939702
tests,scripts,-0.019406903345479936,0.26263647209448854,0.2820433754399685
tests,response,0.17800147440572725,0.42343711395599043,0.24543563955026318
tests,an,-0.07817036857129346,0.03727582886218411,0.11544619743347757
tests,002,0.020831952156882785,0.0019622420571639284,-0.018869710099718856
tests,example,0.06300796370585811,0.09213620746758383,0.029128243761725722
tests,request,0.03610533062421573,0.2831127368528913,0.24700740622867556
tests,003,-0.025219846382099054,0.00010119962002605198,0.025321046002125105
tests,pytest,0.034185843775023546,0.3286839385783974,0.29449809480337386
tests,linear,-0.1932516309265633,0.030990100089263922,0.22424173101582723
tests,query,0.015536963538084403,0.08602058822417563,0.07048362468609123
tests,path,-0.07578674874829362,0.025005537963715456,0.10079228671200907
tests,cluster,0.0565147584829539,0.3146271029754356,0.2581123444924817
tests,api,-0.16034936333112138,-0.07188090497459108,0.08846845835653029
tests,body,0.033607739857256895,0.04758879202490141,0.013981052167644517
tests,benchmarks,-0.1765246319385613,0.11395964250444468,0.29048427444300595
tests,externals,0.0444376532888777,0.28285359115598036,0.23841593786710266
tests,models,-0.2483116826192993,0.008316493030970696,0.25662817565027
tests,app,0.04773444811990535,0.08629330020808783,0.03855885208818248
tests,array,0.06378017600523604,0.07556564844306056,0.011785472437824518
tests,ensemble,0.02922531199555616,0.24621356799967273,0.21698825600411656
tests,security,0.005804533397736667,0.24492936171192675,0.23912482831419007
tests,selection,-0.004406379534338349,0.26455985619544026,0.2689662357297786
tests,extra,-0.008194105412143427,0.2492099647179526,0.25740407013009603
tests,validations,0.055304577613932954,0.2623729692009299,0.20706839158699694
tests,str,-0.02782475667408523,0.21037472646024058,0.23819948313432582
tests,custom,-0.2054648762630987,0.09106337571286581,0.2965282519759645
tests,dependencies,0.07284511989289877,0.34141277618213345,0.2685676562892347
tests,fixtures,-0.08997082621719898,0.25479454032369486,0.34476536654089385
tutorial,sklearn,-0.1262937258193956,0.18012891299499242,0.306422638814388
tutorial,src,0.06257897394349825,0.09728593918143737,0.03470696523793912
tutorial,/_,-0.04473678719417871,-0.15596007669404285,-0.11122328949986415
